#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,First Ability,Second Ability,Hidden Ability,Group 1,Group 2
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,Swarm,Technician,Light Metal,Bug,
212,Scizor Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,Technician,,,Bug,
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,Sturdy,Gluttony,Contrary,Bug,
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,Swarm,Guts,Moxie,Bug,
214,Heracross Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,Skill Link,,,Bug,
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,Inner Focus,Keen Eye,Pickpocket,Field,
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,Pickup,Quick Feet,Honey Gather,Field,
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,Guts,Quick Feet,Unnerve,Field,
218,Slugma,Fire,,250,40,40,40,70,40,20,2,Magma Armor,Flame Body,Weak Armor,Amorphous,
219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,2,Magma Armor,Flame Body,Weak Armor,Amorphous,
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,Oblivious,Snow Cloak,Thick Fat,Field,
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,Oblivious,Snow Cloak,Thick Fat,Field,
222,Corsola,Water,Rock,410,65,55,95,65,95,35,2,Hustle,Natural Cure,Regenerator,Water 3,Water 1
222,Corsola Galarian Form,Ghost,,410,60,55,100,65,100,30,2,Weak Armor,,Cursed Body,Water 3,Water 1
223,Remoraid,Water,,300,35,65,35,65,35,65,2,Hustle,Sniper,Moody,Water 2,Water 1
224,Octillery,Water,,480,75,105,75,105,75,45,2,Suction Cups,Sniper,Moody,Water 2,Water 1
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,Vital Spirit,Hustle,Insomnia,Water 1,Field
226,Mantine,Water,Flying,485,85,40,70,80,140,70,2,Swift Swim,Water Absorb,Water Veil,Water 1,
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,Keen Eye,Sturdy,Weak Armor,Flying,
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,Early Bird,Flash Fire,Unnerve,Field,
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,Early Bird,Flash Fire,Unnerve,Field,
229,Houndoom Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,Solar Power,,,Field,
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,Swift Swim,Sniper,Damp,Dragon,Water 1
231,Phanpy,Ground,,330,90,60,60,40,40,40,2,Pickup,,Sand Veil,Field,
232,Donphan,Ground,,500,90,120,120,60,60,50,2,Sturdy,,Sand Veil,Field,
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,Trace,Download,Analytic,Mineral,
234,Stantler,Normal,,465,73,95,62,85,65,85,2,Intimidate,Frisk,Sap Sipper,Field,
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,Own Tempo,Technician,Moody,Field,
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,Guts,Steadfast,Vital Spirit,Undiscovered,
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,Intimidate,Technician,Steadfast,Human-Like,
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,Oblivious,Forewarn,Hydration,Undiscovered,
239,Elekid,Electric,,360,45,63,37,65,55,95,2,Static,,Vital Spirit,Undiscovered,
240,Magby,Fire,,365,45,75,37,70,55,83,2,Flame Body,,Vital Spirit,Undiscovered,
241,Miltank,Normal,,490,95,80,105,40,70,100,2,Thick Fat,Scrappy,Sap Sipper,Field,
242,Blissey,Normal,,540,255,10,10,75,135,55,2,Natural Cure,Serene Grace,Healer,Fairy,
243,Raikou,Electric,,580,90,85,75,115,100,115,2,Pressure,,Inner Focus,Undiscovered,
244,Entei,Fire,,580,115,115,85,90,75,100,2,Pressure,,Inner Focus,Undiscovered,
245,Suicune,Water,,580,100,75,115,90,115,85,2,Pressure,,Inner Focus,Undiscovered,
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,Guts,,Sand Veil,Monster,
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,Shed Skin,,,Monster,
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,Sand Stream,,Unnerve,Monster,
248,Tyranitar Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,Sand Stream,,,Monster,
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,Pressure,,Multiscale,Undiscovered,
250,Ho-Oh,Fire,Flying,680,106,130,90,110,154,90,2,Pressure,,Regenerator,Undiscovered,
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,Natural Cure,,,Undiscovered,
252,Treecko,Grass,,310,40,45,35,65,55,70,3,Overgrow,,Unburden,Dragon,Monster
253,Grovyle,Grass,,405,50,65,45,85,65,95,3,Overgrow,,Unburden,Dragon,Monster
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,Overgrow,,Unburden,Dragon,Monster
254,Sceptile Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,Lightning Rod,,,Dragon,Monster
255,Torchic,Fire,,310,45,60,40,70,50,45,3,Blaze,,Speed Boost,Field,
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,Blaze,,Speed Boost,Field,
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,Blaze,,Speed Boost,Field,
257,Blaziken Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,Speed Boost,,,Field,
258,Mudkip,Water,,310,50,70,50,50,50,40,3,Torrent,,Damp,Monster,Water 1
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,Torrent,,Damp,Monster,Water 1
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,Torrent,,Damp,Monster,Water 1
260,Swampert Mega Swampert,Water,Ground,635,100,150,110,95,110,70,3,Swift Swim,,,Monster,Water 1
261,Poochyena,Dark,,220,35,55,35,30,30,35,3,Run Away,Quick Feet,Rattled,Field,
262,Mightyena,Dark,,420,70,90,70,60,60,70,3,Intimidate,Quick Feet,Moxie,Field,
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,Pickup,Gluttony,Quick Feet,Field,
263,Zigzagoon Galarian Form,Dark,Normal,240,38,30,41,30,41,60,3,Pickup,Gluttony,Quick Feet,Field,
264,Linoone,Normal,,420,78,70,61,50,61,100,3,Pickup,Gluttony,Quick Feet,Field,
264,Linoone Galarian Form,Dark,Normal,420,78,70,61,50,61,100,3,Pickup,Gluttony,Quick Feet,Field,
265,Wurmple,Bug,,195,45,45,35,20,30,20,3,Shield Dust,,Run Away,Bug,
266,Silcoon,Bug,,205,50,35,55,25,25,15,3,Shed Skin,,,Bug,
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,Swarm,,Rivalry,Bug,
268,Cascoon,Bug,,205,50,35,55,25,25,15,3,Shed Skin,,,Bug,
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,Shield Dust,,Compound Eyes,Bug,
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,Swift Swim,Rain Dish,Own Tempo,Water 1,Grass
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,Swift Swim,Rain Dish,Own Tempo,Water 1,Grass
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,Swift Swim,Rain Dish,Own Tempo,Water 1,Grass
273,Seedot,Grass,,220,40,40,50,30,30,30,3,Chlorophyll,Early Bird,Pickpocket,Grass,Field
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,Chlorophyll,Early Bird,Pickpocket,Grass,Field
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,Chlorophyll,Early Bird,Pickpocket,Grass,Field
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,Guts,,Scrappy,Flying,
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,3,Guts,,Scrappy,Flying,
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,Keen Eye,Hydration,Rain Dish,Flying,Water 1
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,3,Keen Eye,Drizzle,Rain Dish,Flying,Water 1
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,Synchronize,Trace,Telepathy,Human-Like,Amorphous
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,Synchronize,Trace,Telepathy,Human-Like,Amorphous
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,Synchronize,Trace,Telepathy,Human-Like,Amorphous
282,Gardevoir Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,Pixilate,,,Amorphous,
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,Swift Swim,,Rain Dish,Bug,Water 1
284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,3,Intimidate,,Unnerve,Bug,Water 1
285,Shroomish,Grass,,295,60,40,60,40,60,35,3,Effect Spore,Poison Heal,Quick Feet,Fairy,Grass
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,Effect Spore,Poison Heal,Technician,Fairy,Grass
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,Truant,,,Field,
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,Vital Spirit,,,Field,
289,Slaking,Normal,,670,150,160,100,95,65,100,3,Truant,,,Field,
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,Compound Eyes,,Run Away,Bug,
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,Speed Boost,,Infiltrator,Bug,
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,Wonder Guard,,,Mineral,
293,Whismur,Normal,,240,64,51,23,51,23,28,3,Soundproof,,Rattled,Monster,Field
294,Loudred,Normal,,360,84,71,43,71,43,48,3,Soundproof,,Scrappy,Monster,Field
295,Exploud,Normal,,490,104,91,63,91,73,68,3,Soundproof,,Scrappy,Monster,Field
296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,Thick Fat,Guts,Sheer Force,Human-Like,
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,Thick Fat,Guts,Sheer Force,Human-Like,
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,Thick Fat,Huge Power,Sap Sipper,Undiscovered,
299,Nosepass,Rock,,375,30,45,135,45,90,30,3,Sturdy,Magnet Pull,Sand Force,Mineral,
300,Skitty,Normal,,260,50,45,45,35,35,50,3,Cute Charm,Normalize,Wonder Skin,Fairy,Field
301,Delcatty,Normal,,400,70,65,65,55,55,90,3,Cute Charm,Normalize,Wonder Skin,Fairy,Field
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,Keen Eye,Stall,Prankster,Human-Like,
302,Sableye Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,Magic Bounce,,,Human-Like,
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,Hyper Cutter,Intimidate,Sheer Force,Fairy,Field
303,Mawile Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,Huge Power,,,Fairy,Field
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,Sturdy,Rock Head,Heavy Metal,Monster,
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,Sturdy,Rock Head,Heavy Metal,Monster,
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,Sturdy,Rock Head,Heavy Metal,Monster,
306,Aggron Mega Aggron,Steel,,630,70,140,230,60,80,50,3,Filter,,,Monster,
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,Pure Power,,Telepathy,Human-Like,
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,Pure Power,,Telepathy,Human-Like,
308,Medicham Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,Pure Power,,,Human-Like,
309,Electrike,Electric,,295,40,45,40,65,40,65,3,Static,Lightning Rod,Minus,Field,
310,Manectric,Electric,,475,70,75,60,105,60,105,3,Static,Lightning Rod,Minus,Field,
310,Manectric Mega Manectric,Electric,,575,70,75,80,135,80,135,3,Intimidate,,,Field,
311,Plusle,Electric,,405,60,50,40,85,75,95,3,Plus,,Lightning Rod,Fairy,
312,Minun,Electric,,405,60,40,50,75,85,95,3,Minus,,Volt Absorb,Fairy,
313,Volbeat,Bug,,430,65,73,75,47,85,85,3,Illuminate,Swarm,Prankster,Human-Like,Bug
314,Illumise,Bug,,430,65,47,75,73,85,85,3,Oblivious,Tinted Lens,Prankster,Human-Like,Bug
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,Natural Cure,Poison Point,Leaf Guard,Fairy,Grass
316,Gulpin,Poison,,302,70,43,53,43,53,40,3,Liquid Ooze,Sticky Hold,Gluttony,Amorphous,
317,Swalot,Poison,,467,100,73,83,73,83,55,3,Liquid Ooze,Sticky Hold,Gluttony,Amorphous,
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,Rough Skin,,Speed Boost,Water 2,
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,Rough Skin,,Speed Boost,Water 2,
319,Sharpedo Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,Strong Jaw,,,Water 2,
320,Wailmer,Water,,400,130,70,35,70,35,60,3,Water Veil,Oblivious,Pressure,Water 2,Field
321,Wailord,Water,,500,170,90,45,90,45,60,3,Water Veil,Oblivious,Pressure,Water 2,Field
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,Oblivious,Simple,Own Tempo,Field,
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,Magma Armor,Solid Rock,Anger Point,Field,
323,Camerupt Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,Sheer Force,,,Field,
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,White Smoke,Drought,Shell Armor,Field,
325,Spoink,Psychic,,330,60,25,35,70,80,60,3,Thick Fat,Own Tempo,Gluttony,Field,
326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,Thick Fat,Own Tempo,Gluttony,Field,
327,Spinda,Normal,,360,60,60,60,60,60,60,3,Own Tempo,Tangled Feet,Contrary,Human-Like,Field
328,Trapinch,Ground,,290,45,100,45,45,45,10,3,Hyper Cutter,Arena Trap,Sheer Force,Dragon,Bug
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,Levitate,,,Dragon,Bug
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,Levitate,,,Dragon,Bug
331,Cacnea,Grass,,335,50,85,40,85,40,35,3,Sand Veil,,Water Absorb,Human-Like,Grass
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,Sand Veil,,Water Absorb,Human-Like,Grass
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,Natural Cure,,Cloud Nine,Flying,Dragon
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,Natural Cure,,Cloud Nine,Flying,Dragon
334,Altaria Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,Pixilate,,,Flying,Dragon
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,Immunity,,Toxic Boost,Field,
336,Seviper,Poison,,458,73,100,60,100,60,65,3,Shed Skin,,Infiltrator,Dragon,Field
337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,3,Levitate,,,Mineral,
338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,3,Levitate,,,Mineral,
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,Oblivious,Anticipation,Hydration,Water 2,
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,Oblivious,Anticipation,Hydration,Water 2,
341,Corphish,Water,,308,43,80,65,50,35,35,3,Hyper Cutter,Shell Armor,Adaptability,Water 3,Water 1
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,Hyper Cutter,Shell Armor,Adaptability,Water 3,Water 1
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,Levitate,,,Mineral,
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,Levitate,,,Mineral,
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,Suction Cups,,Storm Drain,Water 3,
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,Suction Cups,,Storm Drain,Water 3,
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,Battle Armor,,Swift Swim,Water 3,
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,Battle Armor,,Swift Swim,Water 3,
349,Feebas,Water,,200,20,15,20,10,55,80,3,Swift Swim,Oblivious,Adaptability,Dragon,Water 1
350,Milotic,Water,,540,95,60,79,100,125,81,3,Marvel Scale,Competitive,Cute Charm,Dragon,Water 1
351,Castform,Normal,,420,70,70,70,70,70,70,3,Forecast,,,Fairy,Amorphous
351,Castform Sunny Form,Fire,,420,70,70,70,70,70,70,3,Forecast,,,Fairy,Amorphous
351,Castform Rainy Form,Water,,420,70,70,70,70,70,70,3,Forecast,,,Fairy,Amorphous
351,Castform Snowy Form,Ice,,420,70,70,70,70,70,70,3,Forecast,,,Fairy,Amorphous
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,Color Change,,Protean,Field,
353,Shuppet,Ghost,,295,44,75,35,63,33,45,3,Insomnia,Frisk,Cursed Body,Amorphous,
354,Banette,Ghost,,455,64,115,65,83,63,65,3,Insomnia,Frisk,Cursed Body,Amorphous,
354,Banette Mega Banette,Ghost,,555,64,165,75,93,83,75,3,Prankster,,,Amorphous,
355,Duskull,Ghost,,295,20,40,90,30,90,25,3,Levitate,,Frisk,Amorphous,
356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,Pressure,,Frisk,Amorphous,
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,Chlorophyll,Solar Power,Harvest,Monster,Grass
358,Chimecho,Psychic,,455,75,50,80,95,90,65,3,Levitate,,,Amorphous,
359,Absol,Dark,,465,65,130,60,75,60,75,3,Pressure,Super Luck,Justified,Field,
359,Absol Mega Absol,Dark,,565,65,150,60,115,60,115,3,Magic Bounce,,,Field,
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,Shadow Tag,,Telepathy,Undiscovered,
361,Snorunt,Ice,,300,50,50,50,50,50,50,3,Inner Focus,Ice Body,Moody,Fairy,Mineral
362,Glalie,Ice,,480,80,80,80,80,80,80,3,Inner Focus,Ice Body,Moody,Fairy,Mineral
362,Glalie Mega Glalie,Ice,,580,80,120,80,120,80,100,3,Refrigerate,,,Fairy,Mineral
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,Thick Fat,Ice Body,Oblivious,Water 1,Field
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,Thick Fat,Ice Body,Oblivious,Water 1,Field
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,Thick Fat,Ice Body,Oblivious,Water 1,Field
366,Clamperl,Water,,345,35,64,85,74,55,32,3,Shell Armor,,Rattled,Water 1,
367,Huntail,Water,,485,55,104,105,94,75,52,3,Swift Swim,,Water Veil,Water 1,
368,Gorebyss,Water,,485,55,84,105,114,75,52,3,Swift Swim,,Hydration,Water 1,
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,Swift Swim,Rock Head,Sturdy,Water 2,Water 1
370,Luvdisc,Water,,330,43,30,55,40,65,97,3,Swift Swim,,Hydration,Water 2,
371,Bagon,Dragon,,300,45,75,60,40,30,50,3,Rock Head,,Sheer Force,Dragon,
372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,Rock Head,,Overcoat,Dragon,
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,Intimidate,,Moxie,Dragon,
373,Salamence Mega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,Aerilate,,,Dragon,
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,Clear Body,,Light Metal,Mineral,
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,Clear Body,,Light Metal,Mineral,
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,Clear Body,,Light Metal,Mineral,
376,Metagross Mega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,Tough Claws,,,Mineral,
377,Regirock,Rock,,580,80,100,200,50,100,50,3,Clear Body,,Sturdy,Undiscovered,
378,Regice,Ice,,580,80,50,100,100,200,50,3,Clear Body,,Ice Body,Undiscovered,
379,Registeel,Steel,,580,80,75,150,75,150,50,3,Clear Body,,Light Metal,Undiscovered,
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,Levitate,,,Undiscovered,
380,Latias Mega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,Levitate,,,Undiscovered,
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,Levitate,,,Undiscovered,
381,Latios Mega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,Levitate,,,Undiscovered,
382,Kyogre,Water,,670,100,100,90,150,140,90,3,Drizzle,,,Undiscovered,
382,Kyogre Primal Kyogre,Water,,770,100,150,90,180,160,90,3,Primordial Sea,,,Undiscovered,
383,Groudon,Ground,,670,100,150,140,100,90,90,3,Drought,,,Undiscovered,
383,Groudon Primal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,Desolate Land,,,Undiscovered,
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,Air Lock,,,Undiscovered,
384,Rayquaza Mega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,Delta Stream,,,Undiscovered,
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,Serene Grace,,,Undiscovered,
386,Deoxys Normal Forme,Psychic,,600,50,150,50,150,50,150,3,Pressure,,,Undiscovered,
386,Deoxys Attack Forme,Psychic,,600,50,180,20,180,20,150,3,Pressure,,,Undiscovered,
386,Deoxys Defense Forme,Psychic,,600,50,70,160,70,160,90,3,Pressure,,,Undiscovered,
386,Deoxys Speed Forme,Psychic,,600,50,95,90,95,90,180,3,Pressure,,,Undiscovered,
387,Turtwig,Grass,,318,55,68,64,45,55,31,4,Overgrow,,Shell Armor,Monster,Grass
388,Grotle,Grass,,405,75,89,85,55,65,36,4,Overgrow,,Shell Armor,Monster,Grass
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,Overgrow,,Shell Armor,Monster,Grass
390,Chimchar,Fire,,309,44,58,44,58,44,61,4,Blaze,,Iron Fist,Human-Like,Field
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,Blaze,,Iron Fist,Human-Like,Field
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,Blaze,,Iron Fist,Human-Like,Field
393,Piplup,Water,,314,53,51,53,61,56,40,4,Torrent,,Defiant,Water 1,Field
394,Prinplup,Water,,405,64,66,68,81,76,50,4,Torrent,,Defiant,Water 1,Field
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,Torrent,,Defiant,Water 1,Field
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,Keen Eye,,Reckless,Flying,
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,Intimidate,,Reckless,Flying,
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,Intimidate,,Reckless,Flying,
399,Bidoof,Normal,,250,59,45,40,35,40,31,4,Simple,Unaware,Moody,Water 1,Field
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,Simple,Unaware,Moody,Water 1,Field
401,Kricketot,Bug,,194,37,25,41,25,41,25,4,Shed Skin,,Run Away,Bug,
402,Kricketune,Bug,,384,77,85,51,55,51,65,4,Swarm,,Technician,Bug,
403,Shinx,Electric,,263,45,65,34,40,34,45,4,Rivalry,Intimidate,Guts,Field,
404,Luxio,Electric,,363,60,85,49,60,49,60,4,Rivalry,Intimidate,Guts,Field,
405,Luxray,Electric,,523,80,120,79,95,79,70,4,Rivalry,Intimidate,Guts,Field,
406,Budew,Grass,Poison,280,40,30,35,50,70,55,4,Natural Cure,Poison Point,Leaf Guard,Undiscovered,
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,Natural Cure,Poison Point,Technician,Fairy,Grass
408,Cranidos,Rock,,350,67,125,40,30,30,58,4,Mold Breaker,,Sheer Force,Monster,
409,Rampardos,Rock,,495,97,165,60,65,50,58,4,Mold Breaker,,Sheer Force,Monster,
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,Sturdy,,Soundproof,Monster,
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,Sturdy,,Soundproof,Monster,
412,Burmy,Bug,,224,40,29,45,29,45,36,4,Shed Skin,,Overcoat,Bug,
413,Wormadam Plant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,Anticipation,,Overcoat,Bug,
413,Wormadam Sandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,Anticipation,,Overcoat,Bug,
413,Wormadam Trash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,Anticipation,,Overcoat,Bug,
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,Swarm,,Tinted Lens,Bug,
415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,Honey Gather,,Hustle,Bug,
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,Pressure,,Unnerve,Bug,
417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,Run Away,Pickup,Volt Absorb,Fairy,Field
418,Buizel,Water,,330,55,65,35,60,30,85,4,Swift Swim,,Water Veil,Water 1,Field
419,Floatzel,Water,,495,85,105,55,85,50,115,4,Swift Swim,,Water Veil,Water 1,Field
420,Cherubi,Grass,,275,45,35,45,62,53,35,4,Chlorophyll,,,Fairy,Grass
421,Cherrim,Grass,,450,70,60,70,87,78,85,4,Flower Gift,,,Fairy,Grass
422,Shellos,Water,,325,76,48,48,57,62,34,4,Sticky Hold,Storm Drain,Sand Force,Amorphous,Water 1
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,Sticky Hold,Storm Drain,Sand Force,Amorphous,Water 1
424,Ambipom,Normal,,482,75,100,66,60,66,115,4,Technician,Pickup,Skill Link,Field,
425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,Aftermath,Unburden,Flare Boost,Amorphous,
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,Aftermath,Unburden,Flare Boost,Amorphous,
427,Buneary,Normal,,350,55,66,44,44,56,85,4,Run Away,Klutz,Limber,Human-Like,Field
428,Lopunny,Normal,,480,65,76,84,54,96,105,4,Cute Charm,Klutz,Limber,Human-Like,Field
428,Lopunny Mega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,Scrappy,,,Human-Like,Field
429,Mismagius,Ghost,,495,60,60,60,105,105,105,4,Levitate,,,Amorphous,
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,Insomnia,Super Luck,Moxie,Flying,
431,Glameow,Normal,,310,49,55,42,42,37,85,4,Limber,Own Tempo,Keen Eye,Field,
432,Purugly,Normal,,452,71,82,64,64,59,112,4,Thick Fat,Own Tempo,Defiant,Field,
433,Chingling,Psychic,,285,45,30,50,65,50,45,4,Levitate,,,Undiscovered,
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,Stench,Aftermath,Keen Eye,Field,
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,Stench,Aftermath,Keen Eye,Field,
436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,Levitate,Heatproof,Heavy Metal,Mineral,
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,Levitate,Heatproof,Heavy Metal,Mineral,
438,Bonsly,Rock,,290,50,80,95,10,45,10,4,Sturdy,Rock Head,Rattled,Undiscovered,
439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,Soundproof,Filter,Technician,Undiscovered,
